LSOA code (2011),LSOA name (2011),Local Authority District code (2019),Local Authority District name (2019),IMD,Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived),Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs),Income Score (rate),Income Rank (where 1 is most deprived),Income Decile (where 1 is most deprived 10% of LSOAs),Employment Score (rate),Employment Rank (where 1 is most deprived),Employment Decile (where 1 is most deprived 10% of LSOAs),"Education, Skills and Training Score","Education, Skills and Training Rank (where 1 is most deprived)","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)",Health Deprivation and Disability Score,Health Deprivation and Disability Rank (where 1 is most deprived),Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs),Crime Score,Crime Rank (where 1 is most deprived),Crime Decile (where 1 is most deprived 10% of LSOAs),Barriers to Housing and Services Score,Barriers to Housing and Services Rank (where 1 is most deprived),Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs),Living Environment Score,Living Environment Rank (where 1 is most deprived),Living Environment Decile (where 1 is most deprived 10% of LSOAs)
E01000001,City of London 001A,E09000001,City of London,6.21 ,29199.00 ,9.00 ,0.01 ,32831.00 ,10.00 ,0.01 ,32742.00 ,10.00 ,0.02 ,32842.00 ,10.00 ,-1.65 ,32113.00 ,10.00 ,-2.01 ,32662.00 ,10.00 ,29.47 ,7319.00 ,3.00 ,31.87 ,7789.00 ,3.00 
E01000002,City of London 001B,E09000001,City of London,5.14 ,30379.00 ,10.00 ,0.03 ,29901.00 ,10.00 ,0.03 ,31190.00 ,10.00 ,0.06 ,32832.00 ,10.00 ,-1.12 ,29705.00 ,10.00 ,-2.34 ,32789.00 ,10.00 ,24.41 ,11707.00 ,4.00 ,23.08 ,13070.00 ,4.00 
E01000003,City of London 001C,E09000001,City of London,19.40 ,14915.00 ,5.00 ,0.09 ,18510.00 ,6.00 ,0.09 ,15103.00 ,5.00 ,5.80 ,26386.00 ,9.00 ,-0.10 ,17600.00 ,6.00 ,-1.03 ,29363.00 ,9.00 ,40.10 ,2157.00 ,1.00 ,40.54 ,4092.00 ,2.00 
E01000005,City of London 001E,E09000001,City of London,28.65 ,8678.00 ,3.00 ,0.21 ,6029.00 ,2.00 ,0.14 ,7833.00 ,3.00 ,22.26 ,12370.00 ,4.00 ,-0.12 ,17907.00 ,6.00 ,-1.32 ,31059.00 ,10.00 ,39.90 ,2217.00 ,1.00 ,28.98 ,9397.00 ,3.00 
E01000006,Barking and Dagenham 016A,E09000002,Barking and Dagenham,19.84 ,14486.00 ,5.00 ,0.12 ,14023.00 ,5.00 ,0.06 ,21692.00 ,7.00 ,14.80 ,17511.00 ,6.00 ,-0.36 ,21581.00 ,7.00 ,-0.15 ,18848.00 ,6.00 ,45.17 ,1033.00 ,1.00 ,26.89 ,10629.00 ,4.00 
E01000007,Barking and Dagenham 015A,E09000002,Barking and Dagenham,31.58 ,7256.00 ,3.00 ,0.21 ,6261.00 ,2.00 ,0.11 ,11487.00 ,4.00 ,11.39 ,20536.00 ,7.00 ,-0.03 ,16414.00 ,5.00 ,0.85 ,4925.00 ,2.00 ,50.42 ,274.00 ,1.00 ,26.00 ,11162.00 ,4.00 
E01000008,Barking and Dagenham 015B,E09000002,Barking and Dagenham,37.60 ,5010.00 ,2.00 ,0.27 ,3382.00 ,2.00 ,0.15 ,6431.00 ,2.00 ,25.51 ,10569.00 ,4.00 ,0.25 ,12334.00 ,4.00 ,0.35 ,11113.00 ,4.00 ,45.41 ,981.00 ,1.00 ,30.23 ,8672.00 ,3.00 
E01000009,Barking and Dagenham 016B,E09000002,Barking and Dagenham,32.84 ,6736.00 ,3.00 ,0.19 ,7506.00 ,3.00 ,0.11 ,11132.00 ,4.00 ,15.71 ,16819.00 ,6.00 ,0.45 ,9661.00 ,3.00 ,0.90 ,4431.00 ,2.00 ,48.12 ,554.00 ,1.00 ,28.60 ,9611.00 ,3.00 
E01000010,Barking and Dagenham 015C,E09000002,Barking and Dagenham,32.44 ,6900.00 ,3.00 ,0.17 ,8902.00 ,3.00 ,0.07 ,17988.00 ,6.00 ,11.76 ,20182.00 ,7.00 ,0.00 ,16050.00 ,5.00 ,1.21 ,2164.00 ,1.00 ,50.58 ,259.00 ,1.00 ,47.93 ,2269.00 ,1.00 
E01000011,Barking and Dagenham 016C,E09000002,Barking and Dagenham,30.68 ,7698.00 ,3.00 ,0.17 ,9033.00 ,3.00 ,0.08 ,16108.00 ,5.00 ,22.52 ,12224.00 ,4.00 ,-0.14 ,18178.00 ,6.00 ,0.53 ,8727.00 ,3.00 ,52.95 ,110.00 ,1.00 ,39.86 ,4309.00 ,2.00 
E01000012,Barking and Dagenham 015D,E09000002,Barking and Dagenham,34.71 ,5990.00 ,2.00 ,0.24 ,4570.00 ,2.00 ,0.10 ,13201.00 ,5.00 ,19.77 ,13896.00 ,5.00 ,-0.06 ,16887.00 ,6.00 ,0.54 ,8515.00 ,3.00 ,56.51 ,39.00 ,1.00 ,36.88 ,5437.00 ,2.00 
E01000013,Barking and Dagenham 013A,E09000002,Barking and Dagenham,39.00 ,4573.00 ,2.00 ,0.21 ,5966.00 ,2.00 ,0.15 ,7013.00 ,3.00 ,24.00 ,11346.00 ,4.00 ,0.67 ,7172.00 ,3.00 ,1.20 ,2236.00 ,1.00 ,45.25 ,1018.00 ,1.00 ,30.42 ,8569.00 ,3.00 
E01000014,Barking and Dagenham 013B,E09000002,Barking and Dagenham,35.67 ,5650.00 ,2.00 ,0.20 ,6627.00 ,3.00 ,0.14 ,7932.00 ,3.00 ,31.50 ,7994.00 ,3.00 ,0.35 ,10972.00 ,4.00 ,0.83 ,5163.00 ,2.00 ,46.14 ,872.00 ,1.00 ,25.12 ,11704.00 ,4.00 
E01000015,Barking and Dagenham 009A,E09000002,Barking and Dagenham,33.63 ,6405.00 ,2.00 ,0.22 ,5755.00 ,2.00 ,0.12 ,9271.00 ,3.00 ,26.01 ,10318.00 ,4.00 ,0.03 ,15626.00 ,5.00 ,0.37 ,10845.00 ,4.00 ,50.40 ,278.00 ,1.00 ,25.70 ,11351.00 ,4.00 
E01000016,Barking and Dagenham 009B,E09000002,Barking and Dagenham,32.84 ,6739.00 ,3.00 ,0.20 ,6711.00 ,3.00 ,0.12 ,9461.00 ,3.00 ,29.00 ,8971.00 ,3.00 ,0.37 ,10676.00 ,4.00 ,0.53 ,8699.00 ,3.00 ,43.77 ,1273.00 ,1.00 ,24.95 ,11815.00 ,4.00 
E01000017,Barking and Dagenham 009C,E09000002,Barking and Dagenham,39.00 ,4570.00 ,2.00 ,0.25 ,4033.00 ,2.00 ,0.17 ,5016.00 ,2.00 ,22.90 ,11972.00 ,4.00 ,0.69 ,6950.00 ,3.00 ,0.32 ,11685.00 ,4.00 ,45.93 ,902.00 ,1.00 ,27.69 ,10141.00 ,4.00 
E01000018,Barking and Dagenham 009D,E09000002,Barking and Dagenham,33.41 ,6504.00 ,2.00 ,0.21 ,5998.00 ,2.00 ,0.14 ,7832.00 ,3.00 ,26.36 ,10125.00 ,4.00 ,0.27 ,12006.00 ,4.00 ,0.46 ,9663.00 ,3.00 ,43.51 ,1323.00 ,1.00 ,25.66 ,11373.00 ,4.00 
E01000019,Barking and Dagenham 023A,E09000002,Barking and Dagenham,33.62 ,6410.00 ,2.00 ,0.19 ,7049.00 ,3.00 ,0.14 ,7641.00 ,3.00 ,26.11 ,10264.00 ,4.00 ,0.48 ,9374.00 ,3.00 ,0.65 ,7142.00 ,3.00 ,41.25 ,1855.00 ,1.00 ,26.83 ,10667.00 ,4.00 
E01000020,Barking and Dagenham 023B,E09000002,Barking and Dagenham,36.04 ,5520.00 ,2.00 ,0.22 ,5760.00 ,2.00 ,0.13 ,8401.00 ,3.00 ,24.18 ,11245.00 ,4.00 ,0.76 ,6282.00 ,2.00 ,0.65 ,7066.00 ,3.00 ,43.52 ,1319.00 ,1.00 ,30.08 ,8756.00 ,3.00 
E01000021,Barking and Dagenham 008A,E09000002,Barking and Dagenham,38.89 ,4611.00 ,2.00 ,0.23 ,5007.00 ,2.00 ,0.14 ,7865.00 ,3.00 ,31.64 ,7939.00 ,3.00 ,0.42 ,10085.00 ,4.00 ,0.56 ,8283.00 ,3.00 ,45.54 ,961.00 ,1.00 ,44.21 ,3095.00 ,1.00 
E01000022,Barking and Dagenham 008B,E09000002,Barking and Dagenham,34.41 ,6098.00 ,2.00 ,0.20 ,6941.00 ,3.00 ,0.14 ,7576.00 ,3.00 ,27.11 ,9771.00 ,3.00 ,0.43 ,9980.00 ,4.00 ,0.51 ,9002.00 ,3.00 ,44.28 ,1191.00 ,1.00 ,30.44 ,8559.00 ,3.00 
E01000023,Barking and Dagenham 008C,E09000002,Barking and Dagenham,36.88 ,5243.00 ,2.00 ,0.23 ,5088.00 ,2.00 ,0.11 ,11325.00 ,4.00 ,22.99 ,11907.00 ,4.00 ,0.03 ,15505.00 ,5.00 ,1.29 ,1812.00 ,1.00 ,45.85 ,912.00 ,1.00 ,39.97 ,4268.00 ,2.00 
E01000024,Barking and Dagenham 008D,E09000002,Barking and Dagenham,29.34 ,8333.00 ,3.00 ,0.16 ,10056.00 ,4.00 ,0.10 ,12570.00 ,4.00 ,29.30 ,8860.00 ,3.00 ,0.26 ,12148.00 ,4.00 ,0.24 ,12816.00 ,4.00 ,45.70 ,940.00 ,1.00 ,29.87 ,8892.00 ,3.00 
E01000025,Barking and Dagenham 008E,E09000002,Barking and Dagenham,36.70 ,5303.00 ,2.00 ,0.22 ,5570.00 ,2.00 ,0.14 ,7683.00 ,3.00 ,25.69 ,10465.00 ,4.00 ,0.40 ,10405.00 ,4.00 ,0.84 ,5042.00 ,2.00 ,47.03 ,707.00 ,1.00 ,28.04 ,9925.00 ,4.00 
E01000027,Barking and Dagenham 001A,E09000002,Barking and Dagenham,37.35 ,5097.00 ,2.00 ,0.22 ,5730.00 ,2.00 ,0.15 ,6959.00 ,3.00 ,38.12 ,5869.00 ,2.00 ,0.15 ,13752.00 ,5.00 ,1.04 ,3211.00 ,1.00 ,44.98 ,1062.00 ,1.00 ,20.33 ,15032.00 ,5.00 
E01000028,Barking and Dagenham 001B,E09000002,Barking and Dagenham,40.08 ,4240.00 ,2.00 ,0.26 ,3610.00 ,2.00 ,0.16 ,6080.00 ,2.00 ,27.70 ,9522.00 ,3.00 ,1.14 ,3254.00 ,1.00 ,-0.11 ,18303.00 ,6.00 ,48.63 ,494.00 ,1.00 ,16.28 ,18166.00 ,6.00 
E01000029,Barking and Dagenham 001C,E09000002,Barking and Dagenham,22.50 ,12389.00 ,4.00 ,0.11 ,14506.00 ,5.00 ,0.08 ,17567.00 ,6.00 ,17.35 ,15570.00 ,5.00 ,-0.28 ,20355.00 ,7.00 ,0.35 ,11162.00 ,4.00 ,47.51 ,627.00 ,1.00 ,21.97 ,13867.00 ,5.00 
E01000030,Barking and Dagenham 001D,E09000002,Barking and Dagenham,38.42 ,4760.00 ,2.00 ,0.26 ,3448.00 ,2.00 ,0.16 ,5569.00 ,2.00 ,38.75 ,5699.00 ,2.00 ,0.02 ,15751.00 ,5.00 ,0.50 ,9086.00 ,3.00 ,44.59 ,1127.00 ,1.00 ,20.99 ,14570.00 ,5.00 
E01000031,Barking and Dagenham 002A,E09000002,Barking and Dagenham,22.67 ,12267.00 ,4.00 ,0.13 ,12951.00 ,4.00 ,0.08 ,17380.00 ,6.00 ,12.95 ,19087.00 ,6.00 ,0.05 ,15303.00 ,5.00 ,0.92 ,4231.00 ,2.00 ,34.14 ,4505.00 ,2.00 ,27.70 ,10136.00 ,4.00 
E01000032,Barking and Dagenham 002B,E09000002,Barking and Dagenham,29.96 ,8037.00 ,3.00 ,0.15 ,10854.00 ,4.00 ,0.11 ,11603.00 ,4.00 ,23.04 ,11882.00 ,4.00 ,0.10 ,14597.00 ,5.00 ,0.91 ,4275.00 ,2.00 ,39.92 ,2210.00 ,1.00 ,38.37 ,4853.00 ,2.00 
E01000033,Barking and Dagenham 006A,E09000002,Barking and Dagenham,37.98 ,4879.00 ,2.00 ,0.26 ,3732.00 ,2.00 ,0.14 ,7857.00 ,3.00 ,32.04 ,7805.00 ,3.00 ,0.28 ,11932.00 ,4.00 ,0.16 ,14128.00 ,5.00 ,55.69 ,52.00 ,1.00 ,21.76 ,14002.00 ,5.00 
E01000034,Barking and Dagenham 003A,E09000002,Barking and Dagenham,35.90 ,5575.00 ,2.00 ,0.22 ,5759.00 ,2.00 ,0.15 ,6863.00 ,3.00 ,33.86 ,7148.00 ,3.00 ,0.66 ,7279.00 ,3.00 ,0.30 ,11900.00 ,4.00 ,45.08 ,1044.00 ,1.00 ,18.01 ,16800.00 ,6.00 
E01000035,Barking and Dagenham 010A,E09000002,Barking and Dagenham,26.18 ,10070.00 ,4.00 ,0.15 ,10489.00 ,4.00 ,0.09 ,13897.00 ,5.00 ,25.54 ,10551.00 ,4.00 ,0.40 ,10364.00 ,4.00 ,0.24 ,12838.00 ,4.00 ,39.03 ,2476.00 ,1.00 ,23.07 ,13084.00 ,4.00 
E01000036,Barking and Dagenham 010B,E09000002,Barking and Dagenham,19.27 ,15028.00 ,5.00 ,0.11 ,14690.00 ,5.00 ,0.07 ,17997.00 ,6.00 ,15.97 ,16612.00 ,6.00 ,-0.19 ,18923.00 ,6.00 ,0.39 ,10655.00 ,4.00 ,31.72 ,5829.00 ,2.00 ,27.61 ,10188.00 ,4.00 
E01000037,Barking and Dagenham 003B,E09000002,Barking and Dagenham,17.99 ,16128.00 ,5.00 ,0.10 ,16924.00 ,6.00 ,0.10 ,12386.00 ,4.00 ,20.29 ,13611.00 ,5.00 ,-0.50 ,23465.00 ,8.00 ,-0.07 ,17649.00 ,6.00 ,29.72 ,7168.00 ,3.00 ,19.06 ,15997.00 ,5.00 
E01000038,Barking and Dagenham 003C,E09000002,Barking and Dagenham,19.65 ,14671.00 ,5.00 ,0.13 ,12877.00 ,4.00 ,0.08 ,16560.00 ,6.00 ,18.70 ,14630.00 ,5.00 ,-0.10 ,17616.00 ,6.00 ,0.20 ,13426.00 ,5.00 ,27.95 ,8490.00 ,3.00 ,27.00 ,10547.00 ,4.00 
E01000039,Barking and Dagenham 003D,E09000002,Barking and Dagenham,22.29 ,12542.00 ,4.00 ,0.13 ,12861.00 ,4.00 ,0.07 ,17820.00 ,6.00 ,19.75 ,13908.00 ,5.00 ,0.17 ,13416.00 ,5.00 ,0.09 ,15241.00 ,5.00 ,42.78 ,1472.00 ,1.00 ,17.53 ,17185.00 ,6.00 
E01000040,Barking and Dagenham 019A,E09000002,Barking and Dagenham,34.61 ,6028.00 ,2.00 ,0.22 ,5648.00 ,2.00 ,0.12 ,9313.00 ,3.00 ,31.33 ,8063.00 ,3.00 ,0.16 ,13665.00 ,5.00 ,0.61 ,7641.00 ,3.00 ,45.80 ,915.00 ,1.00 ,29.32 ,9203.00 ,3.00 
E01000041,Barking and Dagenham 017A,E09000002,Barking and Dagenham,33.17 ,6601.00 ,3.00 ,0.17 ,8647.00 ,3.00 ,0.11 ,11669.00 ,4.00 ,33.87 ,7142.00 ,3.00 ,0.35 ,10992.00 ,4.00 ,0.43 ,10010.00 ,4.00 ,48.61 ,501.00 ,1.00 ,33.13 ,7142.00 ,3.00 
E01000042,Barking and Dagenham 017B,E09000002,Barking and Dagenham,41.57 ,3842.00 ,2.00 ,0.26 ,3492.00 ,2.00 ,0.16 ,5445.00 ,2.00 ,31.45 ,8009.00 ,3.00 ,0.53 ,8795.00 ,3.00 ,0.26 ,12499.00 ,4.00 ,57.02 ,32.00 ,1.00 ,24.75 ,11945.00 ,4.00 
E01000043,Barking and Dagenham 019B,E09000002,Barking and Dagenham,28.08 ,8992.00 ,3.00 ,0.15 ,10803.00 ,4.00 ,0.09 ,15314.00 ,5.00 ,28.95 ,8996.00 ,3.00 ,0.04 ,15334.00 ,5.00 ,0.57 ,8080.00 ,3.00 ,42.92 ,1445.00 ,1.00 ,33.85 ,6764.00 ,3.00 
