LSOA Code,LSOA Name,LA Code (2019 boundaries),LA name (2019 boundaries),All Ages
E01000001,City of London 001A,E09000001,City of London,1636.00 
E01000002,City of London 001B,E09000001,City of London,1558.00 
E01000003,City of London 001C,E09000001,City of London,1786.00 
E01000005,City of London 001E,E09000001,City of London,1888.00 
E01000006,Barking and Dagenham 016A,E09000002,Barking and Dagenham,2094.00 
E01000007,Barking and Dagenham 015A,E09000002,Barking and Dagenham,2502.00 
E01000008,Barking and Dagenham 015B,E09000002,Barking and Dagenham,1597.00 
E01000009,Barking and Dagenham 016B,E09000002,Barking and Dagenham,1929.00 
E01000010,Barking and Dagenham 015C,E09000002,Barking and Dagenham,3579.00 
E01000011,Barking and Dagenham 016C,E09000002,Barking and Dagenham,1726.00 
E01000012,Barking and Dagenham 015D,E09000002,Barking and Dagenham,2343.00 
E01000013,Barking and Dagenham 013A,E09000002,Barking and Dagenham,1855.00 
E01000014,Barking and Dagenham 013B,E09000002,Barking and Dagenham,1661.00 
E01000015,Barking and Dagenham 009A,E09000002,Barking and Dagenham,2452.00 
E01000016,Barking and Dagenham 009B,E09000002,Barking and Dagenham,1724.00 
E01000017,Barking and Dagenham 009C,E09000002,Barking and Dagenham,1538.00 
E01000018,Barking and Dagenham 009D,E09000002,Barking and Dagenham,1718.00 
E01000019,Barking and Dagenham 023A,E09000002,Barking and Dagenham,1563.00 
E01000020,Barking and Dagenham 023B,E09000002,Barking and Dagenham,1930.00 
E01000021,Barking and Dagenham 008A,E09000002,Barking and Dagenham,1756.00 
E01000022,Barking and Dagenham 008B,E09000002,Barking and Dagenham,1433.00 
E01000023,Barking and Dagenham 008C,E09000002,Barking and Dagenham,3853.00 
E01000024,Barking and Dagenham 008D,E09000002,Barking and Dagenham,1546.00 
E01000025,Barking and Dagenham 008E,E09000002,Barking and Dagenham,1676.00 
E01000027,Barking and Dagenham 001A,E09000002,Barking and Dagenham,1846.00 
E01000028,Barking and Dagenham 001B,E09000002,Barking and Dagenham,1729.00 
E01000029,Barking and Dagenham 001C,E09000002,Barking and Dagenham,1764.00 
E01000030,Barking and Dagenham 001D,E09000002,Barking and Dagenham,2396.00 
E01000031,Barking and Dagenham 002A,E09000002,Barking and Dagenham,1810.00 
E01000032,Barking and Dagenham 002B,E09000002,Barking and Dagenham,1879.00 
E01000033,Barking and Dagenham 006A,E09000002,Barking and Dagenham,1598.00 
E01000034,Barking and Dagenham 003A,E09000002,Barking and Dagenham,1640.00 
E01000035,Barking and Dagenham 010A,E09000002,Barking and Dagenham,1841.00 
E01000036,Barking and Dagenham 010B,E09000002,Barking and Dagenham,1458.00 
E01000037,Barking and Dagenham 003B,E09000002,Barking and Dagenham,1912.00 
E01000038,Barking and Dagenham 003C,E09000002,Barking and Dagenham,1425.00 
E01000039,Barking and Dagenham 003D,E09000002,Barking and Dagenham,1710.00 
E01000040,Barking and Dagenham 019A,E09000002,Barking and Dagenham,1793.00 
E01000041,Barking and Dagenham 017A,E09000002,Barking and Dagenham,1818.00 
E01000042,Barking and Dagenham 017B,E09000002,Barking and Dagenham,2001.00 
E01000043,Barking and Dagenham 019B,E09000002,Barking and Dagenham,1518.00 
E01000044,Barking and Dagenham 016D,E09000002,Barking and Dagenham,1992.00 
E01000045,Barking and Dagenham 017C,E09000002,Barking and Dagenham,1802.00 
E01000046,Barking and Dagenham 017D,E09000002,Barking and Dagenham,1900.00 
E01000048,Barking and Dagenham 021B,E09000002,Barking and Dagenham,1044.00 
E01000049,Barking and Dagenham 021C,E09000002,Barking and Dagenham,1921.00 
E01000050,Barking and Dagenham 019C,E09000002,Barking and Dagenham,1966.00 
E01000051,Barking and Dagenham 021D,E09000002,Barking and Dagenham,963.00 
E01000052,Barking and Dagenham 019D,E09000002,Barking and Dagenham,2258.00 
E01000053,Barking and Dagenham 020A,E09000002,Barking and Dagenham,1604.00 
E01000054,Barking and Dagenham 018A,E09000002,Barking and Dagenham,1951.00 
E01000055,Barking and Dagenham 018B,E09000002,Barking and Dagenham,1707.00 
E01000056,Barking and Dagenham 018C,E09000002,Barking and Dagenham,1675.00 
E01000057,Barking and Dagenham 012A,E09000002,Barking and Dagenham,1536.00 
E01000058,Barking and Dagenham 018D,E09000002,Barking and Dagenham,1990.00 
E01000059,Barking and Dagenham 013C,E09000002,Barking and Dagenham,1649.00 
E01000060,Barking and Dagenham 006B,E09000002,Barking and Dagenham,1999.00 
E01000061,Barking and Dagenham 006C,E09000002,Barking and Dagenham,1869.00 
E01000062,Barking and Dagenham 006D,E09000002,Barking and Dagenham,2378.00 
E01000063,Barking and Dagenham 004A,E09000002,Barking and Dagenham,1843.00 
E01000064,Barking and Dagenham 006E,E09000002,Barking and Dagenham,2204.00 
E01000065,Barking and Dagenham 007A,E09000002,Barking and Dagenham,1779.00 
E01000066,Barking and Dagenham 011A,E09000002,Barking and Dagenham,2304.00 
E01000067,Barking and Dagenham 011B,E09000002,Barking and Dagenham,2222.00 
E01000068,Barking and Dagenham 016E,E09000002,Barking and Dagenham,1534.00 
E01000069,Barking and Dagenham 011C,E09000002,Barking and Dagenham,1938.00 
E01000070,Barking and Dagenham 011D,E09000002,Barking and Dagenham,2190.00 
E01000071,Barking and Dagenham 011E,E09000002,Barking and Dagenham,2637.00 
E01000072,Barking and Dagenham 017E,E09000002,Barking and Dagenham,2128.00 
E01000073,Barking and Dagenham 012B,E09000002,Barking and Dagenham,1791.00 
E01000074,Barking and Dagenham 012C,E09000002,Barking and Dagenham,1627.00 
E01000075,Barking and Dagenham 012D,E09000002,Barking and Dagenham,1883.00 
E01000076,Barking and Dagenham 012E,E09000002,Barking and Dagenham,2111.00 
E01000077,Barking and Dagenham 008F,E09000002,Barking and Dagenham,1565.00 
E01000078,Barking and Dagenham 007B,E09000002,Barking and Dagenham,1892.00 
E01000079,Barking and Dagenham 009E,E09000002,Barking and Dagenham,1772.00 
E01000080,Barking and Dagenham 007C,E09000002,Barking and Dagenham,1612.00 
E01000081,Barking and Dagenham 007D,E09000002,Barking and Dagenham,1846.00 
E01000082,Barking and Dagenham 007E,E09000002,Barking and Dagenham,2079.00 
E01000083,Barking and Dagenham 007F,E09000002,Barking and Dagenham,1937.00 
E01000084,Barking and Dagenham 013D,E09000002,Barking and Dagenham,1426.00 
E01000085,Barking and Dagenham 013E,E09000002,Barking and Dagenham,1889.00 
E01000086,Barking and Dagenham 013F,E09000002,Barking and Dagenham,1469.00 
E01000087,Barking and Dagenham 020B,E09000002,Barking and Dagenham,1620.00 
E01000088,Barking and Dagenham 020C,E09000002,Barking and Dagenham,2105.00 
E01000089,Barking and Dagenham 020D,E09000002,Barking and Dagenham,1886.00 
E01000090,Barking and Dagenham 020E,E09000002,Barking and Dagenham,1729.00 
E01000091,Barking and Dagenham 022A,E09000002,Barking and Dagenham,2105.00 
E01000092,Barking and Dagenham 019E,E09000002,Barking and Dagenham,5820.00 
E01000093,Barking and Dagenham 022B,E09000002,Barking and Dagenham,1797.00 
E01000094,Barking and Dagenham 022C,E09000002,Barking and Dagenham,2294.00 
E01000095,Barking and Dagenham 018E,E09000002,Barking and Dagenham,1851.00 
E01000096,Barking and Dagenham 022D,E09000002,Barking and Dagenham,1828.00 
E01000097,Barking and Dagenham 023C,E09000002,Barking and Dagenham,1843.00 
E01000098,Barking and Dagenham 023D,E09000002,Barking and Dagenham,1824.00 
E01000099,Barking and Dagenham 023E,E09000002,Barking and Dagenham,2474.00 
E01000100,Barking and Dagenham 004B,E09000002,Barking and Dagenham,1764.00 
E01000101,Barking and Dagenham 004C,E09000002,Barking and Dagenham,1620.00 
E01000102,Barking and Dagenham 007G,E09000002,Barking and Dagenham,1517.00 
E01000103,Barking and Dagenham 014A,E09000002,Barking and Dagenham,1689.00 
E01000104,Barking and Dagenham 014B,E09000002,Barking and Dagenham,2010.00 
E01000105,Barking and Dagenham 014C,E09000002,Barking and Dagenham,2299.00 
E01000106,Barking and Dagenham 014D,E09000002,Barking and Dagenham,2192.00 
E01000107,Barking and Dagenham 010C,E09000002,Barking and Dagenham,1803.00 
E01000108,Barking and Dagenham 010D,E09000002,Barking and Dagenham,1892.00 
E01000109,Barking and Dagenham 004D,E09000002,Barking and Dagenham,2768.00 
E01000110,Barking and Dagenham 002C,E09000002,Barking and Dagenham,1464.00 
E01000111,Barking and Dagenham 002D,E09000002,Barking and Dagenham,2052.00 
E01000112,Barking and Dagenham 002E,E09000002,Barking and Dagenham,2164.00 
E01000113,Barking and Dagenham 002F,E09000002,Barking and Dagenham,1805.00 
E01000114,Barking and Dagenham 004E,E09000002,Barking and Dagenham,2437.00 
E01000115,Barnet 009A,E09000003,Barnet,1353.00 
E01000116,Barnet 009B,E09000003,Barnet,1744.00 
E01000117,Barnet 010A,E09000003,Barnet,1780.00 
E01000118,Barnet 010B,E09000003,Barnet,2135.00 
E01000119,Barnet 009C,E09000003,Barnet,1727.00 
E01000120,Barnet 009D,E09000003,Barnet,1486.00 
E01000121,Barnet 010C,E09000003,Barnet,1463.00 
E01000122,Barnet 009E,E09000003,Barnet,1461.00 
E01000123,Barnet 010D,E09000003,Barnet,1746.00 
E01000124,Barnet 010E,E09000003,Barnet,1779.00 
E01000125,Barnet 024A,E09000003,Barnet,3282.00 
E01000126,Barnet 026A,E09000003,Barnet,2260.00 
E01000127,Barnet 024B,E09000003,Barnet,1572.00 
E01000128,Barnet 024C,E09000003,Barnet,1961.00 
E01000129,Barnet 024D,E09000003,Barnet,1840.00 
E01000130,Barnet 021A,E09000003,Barnet,1854.00 
